topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size
"2;8,8;1,8;1,1",8,32,30000,374.37,48.08,5.33199,1.11783,4.57,0.76,0,183806,0.99,12500992,7567638528,14780000
"2;8,8;1,8;1,1",8,1,30000,9597.73,1.876,1.7855,1.71822,0.86,0.92,0,1029581,0.99,4644864,7209517056,13844000
"2;8,8;1,8;1,1",8,40,80000,5034.02,67.81,41.213,7.14758,34.57,4.78,0,1019695,0.95,13692928,52305154048,100172000
"2;8,8;1,8;1,1",8,24,80000,8047.79,42.41,20.4236,4.58742,16.94,3.37,0,1006088,0.99,10137600,51990474752,99444000
"2;8,8;1,8;1,1",8,64,20000,92.84,57.46,8.45707,1.406,7.49,0.95,0,102702,0.99,18825216,3538464768,7344000
"2;8,8;1,8;1,1",8,48,30000,270.9,66.45,6.23759,1.29746,5.37,0.87,0,187072,0.99,19623936,7692128256,15140000
"2;8,8;1,8;1,1",8,16,20000,220.0,24.25,2.68332,0.52543,2.34,0.33,0,95369,0.99,8359936,3368493056,6644000
"2;8,8;1,8;1,1",8,40,60000,2231.19,64.54,27.9442,4.87049,25.03,2.91,0,609078,0.99,15265792,29635842048,56940000
"2;8,8;1,8;1,1",8,32,50000,1555.97,53.56,8.90357,2.09397,7.47,1.44,0,434426,0.99,13967360,20601286656,39632000
"2;8,8;1,8;1,1",8,8,40000,2977.54,14.33,2.25358,0.827253,1.56,0.68,0,280428,0.99,6742016,13043560448,25028000
"2;8,8;1,8;1,1",8,56,20000,120.94,44.1,13.4105,1.88338,12.24,1.15,0,104708,0.99,23896064,3581177856,7364000
"2;8,8;1,8;1,1",8,40,30000,355.8,50.59,13.6672,2.15128,12.24,1.41,0,189750,0.99,19279872,7633182720,14964000
"2;8,8;1,8;1,1",8,56,100000,7040.08,94.7,75.6977,12.2798,62.11,7.98,0,1538097,0.92,22593536,81773629440,156512000
"2;8,8;1,8;1,1",8,8,10000,55.64,11.98,0.464391,0.11742,0.39,0.07,0,32494,0.99,0,0,0
"2;8,8;1,8;1,1",8,40,20000,139.56,38.22,9.83536,1.46619,8.85,0.93,0,101930,0.99,17731584,3496071168,7076000
"2;8,8;1,8;1,1",8,24,100,0.17,0.003943,0.0845459,0.00770788,0.03,0.05,0,1451,0.98,0,0,0
"2;8,8;1,8;1,1",8,40,100000,9576.22,69.62,53.8217,10.0277,44.0,6.68,0,1533210,0.94,13754368,81376235520,155620000
"2;8,8;1,8;1,1",8,24,60000,3491.23,41.25,15.4749,3.13589,13.31,2.16,0,602421,0.99,10219520,29397008384,56352000
"2;8,8;1,8;1,1",8,48,90000,5824.83,83.44,21.196,5.63211,17.12,4.0,0,1256058,0.99,15396864,66217316352,126768000
"2;8,8;1,8;1,1",8,1,70000,121768.84,1.878,9.52073,9.3538,4.0,5.5,0,5499169,0.99,4644864,39210156032,74888000
"2;8,8;1,8;1,1",8,56,60000,1686.42,85.39,42.821,6.62868,37.42,4.13,0,619007,0.97,21352448,29875535872,57520000
"2;8,8;1,8;1,1",8,64,30000,231.65,77.71,13.2964,2.30387,11.9,1.36,0,191622,0.99,18829312,7693344768,15268000
"2;8,8;1,8;1,1",8,8,70000,15617.94,14.64,4.68996,2.12582,2.86,1.81,0,760085,0.99,6529024,35955040256,75716000
"2;8,8;1,8;1,1",8,1,100,0.0,0.5043,0.00423708,0.000997175,0.0,0.0,0,866,0.88,0,0,0
"2;8,8;1,8;1,1",8,48,10000,23.07,28.9,2.28788,0.402401,1.94,0.34,0,38527,0.99,19398656,982224896,2340000
"2;8,8;1,8;1,1",8,32,100000,11652.94,57.21,23.9877,6.07527,16.68,4.47,0,1515608,0.88,11857920,81180000256,155180000
"2;8,8;1,8;1,1",8,1,60000,76696.94,1.878,7.47031,7.28198,3.06,4.35,0,4048968,0.99,4689920,28810047488,55052000
"2;8,8;1,8;1,1",8,1,40000,22736.71,1.877,3.05022,2.96005,1.38,1.67,0,1801038,0.99,4857856,12809805824,24528000
"2;8,8;1,8;1,1",8,48,100000,7916.72,84.21,25.1679,6.72473,20.23,4.88,0,1525011,0.99,15360000,81572216832,156064000
"2;8,8;1,8;1,1",8,8,100000,45157.55,14.76,7.90176,4.00431,4.34,3.53,0,1471676,0.99,6483968,80591728640,153868000
"2;8,8;1,8;1,1",8,16,80000,11799.94,28.93,12.8547,3.70336,9.79,2.98,0,997022,0.99,8589312,51833315328,99084000
"2;8,8;1,8;1,1",8,64,50000,861.01,96.79,22.8455,4.2021,20.06,2.71,0,444833,0.99,20369408,20804743168,40284000
"2;8,8;1,8;1,1",8,56,80000,3737.28,91.33,57.0942,9.11446,49.87,5.42,0,1031906,0.96,20365312,52623093760,100908000
"2;8,8;1,8;1,1",8,16,60000,5056.91,28.48,9.3253,2.35019,7.53,1.8,0,594754,0.99,8527872,29278314496,56060000
"2;8,8;1,8;1,1",8,32,40000,827.85,51.54,7.08218,1.59277,5.98,1.1,0,295956,0.99,13840384,13285109760,25680000
"2;8,8;1,8;1,1",8,1,10000,356.97,1.868,0.196034,0.173266,0.07,0.12,0,122307,1.0,0,0,0
"2;8,8;1,8;1,1",8,48,20000,98.39,54.21,4.11179,0.806658,3.61,0.51,0,99722,0.99,19390464,3537108992,7220000
"2;8,8;1,8;1,1",8,8,60000,9881.32,14.57,3.74585,1.59218,2.34,1.38,0,574420,0.99,6586368,29159604224,55768000
"2;8,8;1,8;1,1",8,64,90000,4459.86,109.0,43.0549,8.45891,35.28,5.47,0,1264722,0.94,23298048,66226728960,126916000
"2;8,8;1,8;1,1",8,48,100,0.14,0.004898,0.142331,0.0120351,0.03,0.12,0,1893,1.0,0,0,0
"2;8,8;1,8;1,1",8,40,40000,741.16,57.57,18.5542,2.99586,16.76,1.78,0,304713,0.99,15781888,13365198848,25896000
"2;8,8;1,8;1,1",8,40,10000,38.58,17.28,4.52284,0.648118,4.1,0.4,0,39849,0.99,13570048,956416000,2224000
"2;8,8;1,8;1,1",8,16,90000,16719.08,29.07,14.3932,4.33376,10.76,3.6,0,1237921,0.99,8413184,65510645760,125168000
"2;8,8;1,8;1,1",8,56,90000,5213.55,93.22,65.5814,10.7533,56.5,6.59,0,1272030,0.96,20586496,66397356032,127176000
"2;8,8;1,8;1,1",8,24,10000,39.03,17.08,2.44608,0.363312,2.19,0.24,0,37013,0.99,10010624,912633856,2024000
"2;8,8;1,8;1,1",8,56,30000,289.85,62.11,20.1344,2.96273,18.34,1.8,0,192877,0.99,17846272,7749300224,15328000
"2;8,8;1,8;1,1",8,24,40000,1103.89,38.65,9.40349,1.76113,8.18,1.22,0,297993,0.99,10186752,13203353600,25468000
"2;8,8;1,8;1,1",8,32,80000,6057.56,56.35,15.9589,4.3641,12.62,3.26,0,1005017,0.99,14004224,52149895168,99808000
"2;8,8;1,8;1,1",8,48,50000,1084.18,76.87,11.5822,2.58189,9.81,1.77,0,437485,0.99,17199104,20799651840,40140000
"2;8,8;1,8;1,1",8,24,90000,11359.74,42.78,22.6836,5.38935,18.57,4.06,0,1252462,0.99,10149888,65687273472,125568000
"2;8,8;1,8;1,1",8,16,40000,1550.67,27.52,5.75917,1.30696,4.79,0.97,0,292725,0.99,10452992,13125468160,25244000
"2;8,8;1,8;1,1",8,48,60000,1813.54,79.41,13.2255,3.17031,11.07,2.17,0,604819,0.99,15216640,29752619008,57224000
"2;8,8;1,8;1,1",8,16,50000,2965.39,28.1,7.518,1.79875,6.11,1.4,0,431293,0.99,8499200,20400934912,39124000
"2;8,8;1,8;1,1",8,40,90000,7062.02,68.82,47.3903,8.47783,38.93,5.9,0,1263066,0.94,13561856,66040700928,126364000
"2;8,8;1,8;1,1",8,64,10000,26.68,25.0,4.37612,0.691432,3.82,0.56,0,40704,0.99,22798336,987623424,2480000
"2;8,8;1,8;1,1",8,16,30000,680.36,26.46,4.14187,0.875443,3.54,0.58,0,180691,0.99,8421376,7445942272,14416000
"2;8,8;1,8;1,1",8,24,30000,502.61,35.82,7.09803,1.24281,6.26,0.81,0,184420,0.99,10145792,7506448384,14596000
"2;8,8;1,8;1,1",8,32,100,0.13,0.005313,0.109302,0.00963949,0.03,0.08,0,1566,0.96,0,0,0
"2;8,8;1,8;1,1",8,64,70000,2181.75,104.8,32.3878,6.27588,28.23,4.04,0,802174,0.99,20365312,40314445824,77500000
"2;8,8;1,8;1,1",8,1,100000,354910.5,1.878,19.8646,19.5526,8.33,11.45,0,11172964,0.99,4857856,80010842112,152700000
"2;8,8;1,8;1,1",8,48,80000,4139.46,82.46,18.6271,4.79373,15.07,3.46,0,1009899,0.99,15327232,52462403584,100528000
"2;8,8;1,8;1,1",8,8,30000,1278.62,14.08,1.60062,0.560618,1.16,0.42,0,172736,0.99,6713344,7385509888,14244000
"2;8,8;1,8;1,1",8,24,50000,2070.6,40.25,11.9646,2.35777,10.18,1.72,0,435843,0.99,10235904,20500148224,39388000
"2;8,8;1,8;1,1",8,32,60000,2626.61,54.83,11.0595,2.73524,9.06,1.93,0,595336,0.99,11898880,29515468800,56644000
"2;8,8;1,8;1,1",8,8,20000,393.19,13.57,0.966397,0.295401,0.73,0.24,0,89679,0.99,0,0,0
"2;8,8;1,8;1,1",8,56,70000,2573.95,88.84,49.4593,7.82951,43.22,4.66,0,810606,0.96,21442560,40449789952,77680000
"2;8,8;1,8;1,1",8,24,20000,176.82,30.17,4.54195,0.740161,4.1,0.45,0,97813,0.99,12210176,3411714048,6788000
"2;8,8;1,8;1,1",8,8,90000,32990.97,14.73,6.75702,3.35634,3.69,3.0,0,1216387,0.98,6647808,65333858304,124768000
"2;8,8;1,8;1,1",8,1,80000,181748.12,1.878,13.2084,12.9736,6.05,7.1,0,7112127,0.99,4804608,51210473472,97776000
"2;8,8;1,8;1,1",8,1,90000,258752.19,1.878,16.6993,16.3389,7.05,9.5,0,9061483,0.99,4673536,64810524672,123712000
"2;8,8;1,8;1,1",8,64,40000,477.12,89.43,17.3047,3.15051,15.34,1.98,0,305538,0.99,21041152,13450366976,26252000
"2;8,8;1,8;1,1",8,56,50000,1034.54,80.55,34.487,5.19825,30.43,3.16,0,451723,0.97,19484672,20899356672,40404000
"2;8,8;1,8;1,1",8,56,40000,581.19,73.42,26.5464,4.00455,24.22,2.33,0,308251,0.99,19767296,13525479424,26336000
"2;8,8;1,8;1,1",8,16,10000,37.7,17.69,1.34157,0.243317,1.17,0.17,0,35504,0.99,8167424,890884096,1908000
"2;8,8;1,8;1,1",8,1,20000,2846.61,1.874,0.764235,0.71809,0.38,0.38,0,461955,0.99,0,0,0
"2;8,8;1,8;1,1",8,32,90000,8551.87,56.83,17.5364,4.95931,13.84,3.67,0,1248869,0.99,15896576,65868062720,125972000
"2;8,8;1,8;1,1",8,8,80000,23232.02,14.69,5.62659,2.67044,3.2,2.36,0,971549,0.98,6287360,36975742976,86880000
"2;8,8;1,8;1,1",8,56,10000,36.79,18.13,6.60309,0.894737,6.03,0.54,0,40784,0.99,20119552,1002942464,2448000
"2;8,8;1,8;1,1",8,16,100,0.08,0.008416,0.0579441,0.00551062,0.02,0.03,0,1266,0.96,0,0,0
"2;8,8;1,8;1,1",8,24,100000,15480.75,43.07,26.5243,6.29324,21.59,4.85,0,1514660,0.99,10215424,80984203264,154748000
"2;8,8;1,8;1,1",8,32,20000,129.86,41.07,3.47126,0.677701,2.98,0.48,0,97727,0.99,11718656,3450671104,6924000
"2;8,8;1,8;1,1",8,64,60000,1418.74,101.5,26.8657,5.07186,23.76,3.0,0,609265,0.99,21168128,29760229376,57356000
"2;8,8;1,8;1,1",8,32,70000,4104.53,55.71,13.32,3.43756,10.76,2.5,0,783159,0.99,11808768,40031555584,76704000
"2;8,8;1,8;1,1",8,64,80000,3184.42,107.2,38.392,7.35692,31.72,4.72,0,1021339,0.94,20819968,52469837824,100684000
"2;8,8;1,8;1,1",8,16,70000,7956.96,28.74,10.6794,2.9212,8.37,2.29,0,782198,0.99,8478720,39755788288,76040000
"2;8,8;1,8;1,1",8,16,100000,22845.85,29.18,17.6792,5.21186,12.82,4.18,0,1499742,0.96,8454144,80787963904,154312000
"2;8,8;1,8;1,1",8,64,100,0.18,0.003803,0.209651,0.0179303,0.06,0.16,0,2291,0.99,0,0,0
"2;8,8;1,8;1,1",8,48,70000,2817.04,81.18,16.0921,3.98869,13.36,2.71,0,795935,0.99,15122432,40307294208,77344000
"2;8,8;1,8;1,1",8,40,70000,3441.75,66.44,35.6995,6.12615,30.26,3.9,0,801029,0.95,15745024,40171687936,77020000
"2;8,8;1,8;1,1",8,24,70000,5453.44,41.93,17.5211,3.76776,14.7,2.72,0,790272,0.99,10153984,39893762048,76372000
"2;8,8;1,8;1,1",8,56,100,0.23,0.002934,0.19686,0.0179901,0.07,0.14,0,2240,0.99,0,0,0
"2;8,8;1,8;1,1",8,1,50000,44392.9,1.877,4.80167,4.66464,2.07,2.7,0,2821880,0.99,4653056,20009840640,38260000
"2;8,8;1,8;1,1",8,8,50000,5756.54,14.48,3.01378,1.19352,1.98,1.02,0,416916,0.99,6508544,20301430784,38872000
"2;8,8;1,8;1,1",8,48,40000,584.78,72.97,8.41907,1.85346,7.19,1.23,0,299699,0.99,17383424,13444952064,26116000
"2;8,8;1,8;1,1",8,32,10000,27.05,24.65,1.68182,0.300196,1.47,0.21,0,37013,0.99,11796480,934608896,2132000
"2;8,8;1,8;1,1",8,8,100,0.03,0.02023,0.0310252,0.00381427,0.01,0.02,0,1087,0.97,0,0,0
"2;8,8;1,8;1,1",8,40,50000,1348.03,61.82,24.1132,3.97088,21.39,2.52,0,443549,0.99,13656064,20698570752,39888000
"2;8,8;1,8;1,1",8,40,100,0.23,0.003022,0.150704,0.013166,0.05,0.1,0,1840,0.98,0,0,0
"2;8,8;1,8;1,1",8,64,100000,6039.8,110.4,49.669,9.88211,40.05,6.65,0,1533297,0.93,22667264,81581281280,156200000
